Line Ref. No.,Billing Organization,NYISO Name,Zone,PTID,Town,County,State,In-Service Date,Name Plate Rating (MW),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Dual Fuel,Unit Type,Fuel Type (primary),Fuel Type (secondary),2018 Net Energy (GWh),Latitude,Longitude
R1367,"Exelon Generation Company, LLC",Monroe Livingston,B,24207,Scottsville,55,36,11/01/1988,2.4,2.4,2.4,2.4,2.4,,Internal Combustion,Methane,,7.7,,
R1533,Astoria Generating Company L.P.,Narrows 1-1,J,24228,Brooklyn,47,36,05/01/1972,22,21,27.4,19.3,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,6.4,40.648611,-74.020833
R1473,Astoria Generating Company L.P.,Narrows 1-2,J,24229,Brooklyn,47,36,05/01/1972,22,19.5,25.5,17.1,23.8,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3.6,40.648611,-74.020833
R1609,Astoria Generating Company L.P.,Narrows 1-3,J,24230,Brooklyn,47,36,05/01/1972,22,20.4,26.6,18.3,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,4,40.648611,-74.020833
R1681,Astoria Generating Company L.P.,Narrows 1-4,J,24231,Brooklyn,47,36,05/01/1972,22,20.1,26.3,18.8,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,2.7,40.648611,-74.020833
R1682,Astoria Generating Company L.P.,Narrows 1-5,J,24232,Brooklyn,47,36,05/01/1972,22,19.8,25.9,19.9,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3,40.648611,-74.020833
R1595,Astoria Generating Company L.P.,Narrows 1-6,J,24233,Brooklyn,47,36,05/01/1972,22,18.9,24.7,16.5,22.2,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3,40.648611,-74.020833
R1366,Astoria Generating Company L.P.,Narrows 1-7,J,24234,Brooklyn,47,36,05/01/1972,22,18.4,24,19.4,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,6.1,40.648611,-74.020833
R1368,Astoria Generating Company L.P.,Narrows 1-8,J,24235,Brooklyn,47,36,05/01/1972,22,19.9,26,17.5,23.2,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,4.6,40.648611,-74.020833
R1330,Astoria Generating Company L.P.,Narrows 2-1,J,24236,Brooklyn,47,36,06/01/1972,22,19.4,25.3,19.2,24.8,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3.4,40.648611,-74.020833
R1335,Astoria Generating Company L.P.,Narrows 2-2,J,24237,Brooklyn,47,36,06/01/1972,22,18.7,24.4,16.4,22.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3.4,40.648611,-74.020833
R1669,Astoria Generating Company L.P.,Narrows 2-3,J,24238,Brooklyn,47,36,06/01/1972,22,18.4,24,17.5,23.8,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,3.4,40.648611,-74.020833
R1667,Astoria Generating Company L.P.,Narrows 2-4,J,24239,Brooklyn,47,36,06/01/1972,22,18.4,24,17.9,24.2,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,7,40.648611,-74.020833
R1334,Astoria Generating Company L.P.,Narrows 2-5,J,24240,Brooklyn,47,36,06/01/1972,22,19.9,26,18.1,24.4,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,4.8,40.648611,-74.020833
R1084,Astoria Generating Company L.P.,Narrows 2-6,J,24241,Brooklyn,47,36,06/01/1972,22,18.1,23.6,16.3,21.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,2.8,40.648611,-74.020833
R1085,Astoria Generating Company L.P.,Narrows 2-7,J,24242,Brooklyn,47,36,06/01/1972,22,20.7,27,18.5,24.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,6.6,40.648611,-74.020833
R1668,Astoria Generating Company L.P.,Narrows 2-8,J,24243,Brooklyn,47,36,06/01/1972,22,17.5,22.9,16.3,21.9,YES,Combustion Turbine,Fuel Oil 2,Natural Gas,6.4,40.648611,-74.020833
R1329,Long Island Power Authority,Northport GT,K,23718,Northport,103,36,03/01/1967,16,13.8,18,12.1,11.8,,Combustion Turbine,Fuel Oil 2,,0.1,40.9231,-73.3417
R1500,Long Island Power Authority,Oceanside (LF),K,5008,Oceanside,59,36,02/01/1991,2.1,1.1,1.1,0,0,,Internal Combustion,Methane,,0,,
R1596,"Exelon Generation Company, LLC",Oneida-Herkimer  LFGE,E,323681,Boonville,65,36,04/01/2012,3.2,3.2,3.2,3.2,3.2,,Internal Combustion,Methane,,27,,
R1552,Niagara Mohawk Power Corp.,Onondaga County,C,23987,North Syracuse,67,36,12/01/1994,39.5,32.6,32.6,0,0,,Steam Turbine,Refuse,,216.8,,
R1422,Niagara Mohawk Power Corp.,Onondaga Energy Partners,C,23634,Onondaga,67,36,12/01/1987,1.4,0,0,0,0,,Internal Combustion,Methane,,0,,
R1114,"Seneca Energy II, LLC",Ontario LFGE,C,23819,Canandaigua,69,36,12/01/2003,11.2,7.6,7.6,11.2,11.2,,Internal Combustion,Methane,,71.7,,
R1680,Niagara Mohawk Power Corp.,Oswego County,C,23634,Oswego,75,36,03/01/1986,3.6,0,0,0,0,,Steam Turbine,Refuse,,4.3,,
R1391,NRG Power Marketing LLC,Oswego IC 1,C,5052,Oswego,75,36,08/01/1967,0.7,0,0,0,0,,Internal Combustion,Fuel Oil 2,,0,,
R1392,NRG Power Marketing LLC,Oswego IC 2,C,5053,Oswego,75,36,02/01/1976,0.8,0,0,0,0,,Internal Combustion,Fuel Oil 2,,0,,
