NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Indeck-Silver Springs",23768,C,Combined Cycle,Natural Gas,42.6544,-78.0772,60,12,0.65,6.5,19.5,39,6.67822173149851,114.870022229693,0.934867067368616,0.0625594424311229,2.38998572195004,177.730486660656,0.949656361958353,1
"Sterling",23777,E,Combined Cycle,Natural Gas,43.0803,-75.6003,43,16.6,0.375,3.75,11.25,22.5,8.75954509225287,94.2650157103241,0.994081481972846,-0.0123138224621327,9.52147294550771,83.018076693363,0.994250462353636,1
"Indeck-Yerkes",23781,A,Combined Cycle,Natural Gas,42.9671,-78.9182,57,13,0.633333333333333,6.33333333333333,19,38,7.79847914485021,67.3259458492061,0.94416668326915,-0.00598631161077299,8.21902158058564,60.8057694311173,0.944117346804977,1
"Indeck-Oswego",23783,C,Combined Cycle,Natural Gas,43.4682,-76.4965,61,13.7,0.7,7,21,42,6.85003509264458,93.833819676102,0.934228700688766,0.0510699624522864,2.60358430520364,176.794107934758,0.940807019612587,1
"Lockport",23791,A,Combined Cycle,Natural Gas,43.1622,-78.7453,153,28,1.275,12.75,38.25,76.5,12.939909228031,-26.3995315578936,0.913462435219589,0.0033927298275281,12.3766550280874,-6.86161765579119,0.913465855615356,1
"Saranac Energy",23793,D,Combined Cycle,Natural Gas,44.7132,-73.4557,268,45,2.00833333333333,20.0833333333333,60.25,120.5,8.09133502868879,91.4924584562934,0.972110866799635,0.00357896218289587,7.12856525018097,149.465510124902,0.973021456863388,1
"Flynn",23794,K,Combined Cycle,Natural Gas,40.8153,-73.0644,111,57,0.866666666666667,8.66666666666667,26,52,8.96708044049024,295.699208665303,0.988700835084998,-0.0145581443652584,11.3897919274156,197.142492066736,0.989089204097926,1
"Rensselaer",23796,F,Combined Cycle,Natural Gas,42.63,-73.75,84,27.5,0.566666666666667,5.66666666666667,17,34,6.63141263076982,160.877277622682,0.98160964208405,0.0381820030298904,1.75803422333629,304.348511889826,0.988601939380306,1
"Selkirk-II",23799,F,Combined Cycle,Natural Gas,42.5744,-73.8592,304,75,1.91666666666667,19.1666666666667,57.5,115,7.47891921192365,157.015749909065,0.976606495904094,0.00447148861920509,5.89532272323889,285.045659435442,0.97757456099618,1
"Greenport GT1",23814,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,60,35,0.591666666666667,5.91666666666667,17.75,35.5,20.9806494645788,-578.65808613897,0.822541669828295,-0.799114576402573,95.8860654096602,-2315.9167986962,0.861913552795427,1
"Far Rockaway GT2",23815,K,Jet Engine,Kerosene,40.6106,-73.7614,54,31,0.533333333333333,5.33333333333333,16,32,22.2692254633697,-605.384500345637,0.928786471903157,0.127389437602037,11.0298590431954,-365.011443832632,0.929524350302253,1
"KIAC_JFK_GT1",23816,J,Combined Cycle,Natural Gas,40.6417,-73.7778,65,37,0.45,4.5,13.5,27,7.85616573991791,89.7284098667044,0.970297746360214,-0.0285262460381507,10.5075762416634,28.5860877681964,0.971028459736916,1
"KIAC_JFK_GT2",23817,J,Combined Cycle,Natural Gas,40.6417,-73.7778,71,5,0.616666666666667,6.16666666666667,18.5,37,7.35302659788281,100.693065202729,0.954711701146307,0.00720398751606604,6.76862032072057,112.013955306806,0.955033751189217,1
"Freeport CT 2",23818,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,51,1,0.658333333333333,6.58333333333333,19.75,39.5,10.7928934966781,-41.3412529015759,0.919617700206554,0.192561011310415,1.86201594740624,13.0877714421676,0.942857869990813,1
"Bethpage",23823,K,Combined Cycle,Natural Gas,40.7469,-73.4994,61,22,0.708333333333333,7.08333333333333,21.25,42.5,7.16651058006435,27.4515805419086,0.953129412185642,-0.0271832614626435,9.54118381994274,-19.9432360476886,0.953814301537485,1
"Castleton Energy Center",23900,F,Combined Cycle,Natural Gas,42.5375,-73.7433,78,52,0.625,6.25,18.75,37.5,9.66266199519517,-41.6337000800679,0.966758175077666,0.0791086543338857,0.0268750519240374,249.246720430601,0.969450943401166,1
"Massena",23902,D,Combined Cycle,Natural Gas,44.9503,-74.8928,55,8.8,0.508333333333333,5.08333333333333,15.25,30.5,14.5946699044058,-59.5447045809474,0.815360367234561,0.463164134729612,-19.3448212925481,469.201157011233,0.883125313052501,1
"Independence",23970,C,Combined Cycle,Natural Gas,43.495,-76.4508,1218,209,9.25833333333333,92.5833333333333,277.75,555.5,6.78150130759422,71.8285950198123,0.970263238106163,0.000263829129696581,6.41231143788749,181.316160820372,0.970353406645968,1
"Indeck-Olean",23982,A,Combined Cycle,Natural Gas,42.0875,-78.4578,84,28,0.858333333333333,8.58333333333333,25.75,51.5,6.70652167330975,125.59045338913,0.875873429797374,0.025986510786185,3.74540869824891,205.909720995209,0.880622977545049,1
"Beaver Falls",23983,E,Combined Cycle,Natural Gas,43.8861,-75.4342,98,10.1,0.808333333333333,8.08333333333333,24.25,48.5,5.83382822113142,160.120581269573,0.881085701809219,0.0407632593373509,1.00167940854826,270.887166310854,0.901910323492815,1
"Syracuse",23985,C,Combined Cycle,Natural Gas,43.0667,-76.2246,102,24.9,0.683333333333333,6.83333333333333,20.5,41,6.25732663718331,106.108280933738,0.935328758704854,0.083061076868353,-4.80457460628451,446.862398453348,0.978037571199031,1
"Batavia",24024,B,Combined Cycle,Natural Gas,42.9828,-78.1592,43,14,0.441666666666667,4.41666666666667,13.25,26.5,8.77817464346644,123.613354668312,0.992101712830617,-0.0405535160577986,11.2853369794759,87.7786646312444,0.994210928628956,1
"Fortistar - N.Tonawanda",24026,A,Combined Cycle,Natural Gas,43.0483,-78.8539,51,27.2,0.4,4,12,24,8.57438257991823,126.162247476154,0.900376228749228,0.0190245709401482,6.98358810962817,159.17465405023,0.900170341128003,1
"Carr St.-E. Syr",24060,C,Combined Cycle,Natural Gas,43.0611,-76.0819,82,17,0.891666666666667,8.91666666666667,26.75,53.5,9.5809572166699,157.058914901086,0.988465398119954,0.02715567996931,6.88538835921999,212.393142920582,0.990611549254005,1
"Astoria 2",24149,J,Steam Turbine,Natural Gas,40.7869,-73.9122,153,1,0.808333333333333,8.08333333333333,24.25,48.5,10.6959397211921,149.850830935874,0.987115478308483,0.0082657812722347,9.47574769557801,176.716238747544,0.988759588210545,1
"Kent",24152,J,Combustion Turbine,Natural Gas,40.7168,-73.9665,49,25.8,0.525,5.25,15.75,31.5,19.5625254433767,-444.358987246988,0.805477024151483,-1.15200780103456,116.003291840571,-2435.03013766587,0.870483069655057,1
"Pouch",24155,J,Combustion Turbine,Natural Gas,40.6188,-74.069,48,9,0.691666666666667,6.91666666666667,20.75,41.5,15.8071497352808,-269.471299206806,0.810386494027123,0.302579551287145,-4.35810974706109,18.6698221528265,0.856524064359249,1
"Gowanus 5",24156,J,Combustion Turbine,Natural Gas,40.663,-74,44,33,0.416666666666667,4.16666666666667,12.5,25,21.5882364652408,-491.425275832998,0.743434111399888,-2.80606059232023,242.142620376124,-4799.58064842065,0.858744442854658,1
"Gowanus 6",24157,J,Combustion Turbine,Natural Gas,40.663,-74,43,22.4,0.491666666666667,4.91666666666667,14.75,29.5,24.1882573409155,-590.119679578798,0.901749737146841,-0.27927458176498,44.6632759455416,-957.526078492591,0.904251353008207,1
"Hellgate 1",24158,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,19,0.533333333333333,5.33333333333333,16,32,21.8288357002256,-505.614690131228,0.906814402209919,0.46118339953486,-10.3018306579537,32.8736315941978,0.922722554651872,1
"Hellgate 2",24159,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,20,0.508333333333333,5.08333333333333,15.25,30.5,24.6475240488885,-587.398937664866,0.935332760637498,0.24639635160818,7.07420074925049,-282.012739231364,0.937312959625684,1
