fid,NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,HubName,HubDist
204,Nassau Energy Corporation,323695,K,Combined Cycle,Natural Gas,40.7259,-73.5885,79,10.57602075
187,Flynn,23794,K,Combined Cycle,Natural Gas,40.8153,-73.0644,80,7.926367045
206,Far Rockaway GT1,24212,K,Jet Engine,Natural Gas,40.6106,-73.7614,79,29.10705625
203,Caithness_CC_1,323624,K,Combined Cycle,Natural Gas,40.8142,-72.9403,80,17.76879213
192,Brentwood,24164,K,Combustion Turbine,Natural Gas,40.787,-73.2933,80,14.44417428
209,Barrett 09,23700,K,Jet Engine,Natural Gas,40.616689,-73.647881,79,20.97536639
210,Barrett 10,23701,K,Jet Engine,Natural Gas,40.616689,-73.647881,79,20.97536639
211,Barrett 11,23702,K,Jet Engine,Natural Gas,40.616689,-73.647881,79,20.97536639
212,Barrett 12,23703,K,Jet Engine,Natural Gas,40.616689,-73.647881,79,20.97536639
213,Charles P Keller 09,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,79,17.62709319
214,Charles P Keller 10,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,79,17.62709319
215,Charles P Keller 11,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,79,17.62709319
216,Charles P Keller 14,1661,K,Internal Combustion,Fuel Oil 2,40.658333,-73.640556,79,17.62709319
193,Port Jefferson GT 02,24210,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,80,12.26666528
194,Port Jefferson GT 03,24211,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,80,12.26666528
196,Pilgrim GT1,24216,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,80,14.4798899
197,Pilgrim GT2,24217,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,80,14.4798899
221,Freeport 1-4,1660,K,Internal Combustion,Fuel Oil 2,40.6447,-73.5683,79,14.11169023
222,Freeport 2-3,1660,K,Combustion Turbine,Kerosene,40.6447,-73.5683,79,14.11169023
205,Stony Brook   (BTM:NG),24151,K,Combustion Turbine,Natural Gas,40.9168,-73.1292,80,7.318323541
160,Northport 1,23551,K,Steam Turbine,Natural Gas,40.9231,-73.3417,80,18.36181122
161,Northport 2,23552,K,Steam Turbine,Natural Gas,40.9231,-73.3417,80,18.36181122
162,Northport 3,23553,K,Steam Turbine,Natural Gas,40.9231,-73.3417,80,18.36181122
165,Northport 4,23650,K,Steam Turbine,Natural Gas,40.9231,-73.3417,80,18.36181122
