month,day,hour,FuelCategory,GroupCount,mean_TimeStamp,mean_GenMW
1,2,4,Other Renewables,12,01/02/2019 04:27:30,285.25
1,2,4,Wind,12,01/02/2019 04:27:30,58.1666666666667
1,2,5,Dual Fuel,12,01/02/2019 05:27:30,2249.33333333333
1,2,5,Hydro,12,01/02/2019 05:27:30,3263.08333333333
1,2,5,Natural Gas,12,01/02/2019 05:27:30,1899
1,2,5,Nuclear,12,01/02/2019 05:27:30,5419.83333333333
1,2,5,Other Fossil Fuels,12,01/02/2019 05:27:30,0
1,2,5,Other Renewables,12,01/02/2019 05:27:30,283.583333333333
1,2,5,Wind,12,01/02/2019 05:27:30,47.25
1,2,6,Dual Fuel,12,01/02/2019 06:27:30,2664.33333333333
1,2,6,Hydro,12,01/02/2019 06:27:30,3679.08333333333
1,2,6,Natural Gas,12,01/02/2019 06:27:30,2364.58333333333
1,2,6,Nuclear,12,01/02/2019 06:27:30,5425.75
1,2,6,Other Fossil Fuels,12,01/02/2019 06:27:30,0
1,2,6,Other Renewables,12,01/02/2019 06:27:30,274.666666666667
1,2,6,Wind,12,01/02/2019 06:27:30,27.75
1,2,7,Dual Fuel,12,01/02/2019 07:27:30,3379.33333333333
1,2,7,Hydro,12,01/02/2019 07:27:30,4030
1,2,7,Natural Gas,12,01/02/2019 07:27:30,2738.75
1,2,7,Nuclear,12,01/02/2019 07:27:30,5426.83333333333
1,2,7,Other Fossil Fuels,12,01/02/2019 07:27:30,0
1,2,7,Other Renewables,12,01/02/2019 07:27:30,274.333333333333
1,2,7,Wind,12,01/02/2019 07:27:30,19.8333333333333
1,2,8,Dual Fuel,12,01/02/2019 08:27:30,3592.41666666667
1,2,8,Hydro,12,01/02/2019 08:27:30,4106.16666666667
1,2,8,Natural Gas,12,01/02/2019 08:27:30,3039
1,2,8,Nuclear,12,01/02/2019 08:27:30,5426.25
1,2,8,Other Fossil Fuels,12,01/02/2019 08:27:30,0
1,2,8,Other Renewables,12,01/02/2019 08:27:30,272.666666666667
1,2,8,Wind,12,01/02/2019 08:27:30,10.5
1,2,9,Dual Fuel,12,01/02/2019 09:27:30,3400.33333333333
1,2,9,Hydro,12,01/02/2019 09:27:30,4191.08333333333
1,2,9,Natural Gas,12,01/02/2019 09:27:30,3016.16666666667
1,2,9,Nuclear,12,01/02/2019 09:27:30,5425.5
1,2,9,Other Fossil Fuels,12,01/02/2019 09:27:30,0
1,2,9,Other Renewables,12,01/02/2019 09:27:30,278.75
1,2,9,Wind,12,01/02/2019 09:27:30,7.16666666666667
1,2,10,Dual Fuel,12,01/02/2019 10:27:30,3151.25
1,2,10,Hydro,12,01/02/2019 10:27:30,4114.75
1,2,10,Natural Gas,12,01/02/2019 10:27:30,2939.08333333333
1,2,10,Nuclear,12,01/02/2019 10:27:30,5426.16666666667
1,2,10,Other Fossil Fuels,12,01/02/2019 10:27:30,0
1,2,10,Other Renewables,12,01/02/2019 10:27:30,297.583333333333
1,2,10,Wind,12,01/02/2019 10:27:30,7.08333333333333
1,2,11,Dual Fuel,12,01/02/2019 11:27:30,2857.83333333333
1,2,11,Hydro,12,01/02/2019 11:27:30,4129.75
1,2,11,Natural Gas,12,01/02/2019 11:27:30,2774.08333333333
1,2,11,Nuclear,12,01/02/2019 11:27:30,5428
1,2,11,Other Fossil Fuels,12,01/02/2019 11:27:30,0
1,2,11,Other Renewables,12,01/02/2019 11:27:30,303.166666666667
1,2,11,Wind,12,01/02/2019 11:27:30,7
1,2,12,Dual Fuel,12,01/02/2019 12:27:30,2829.91666666667
1,2,12,Hydro,12,01/02/2019 12:27:30,4121.33333333333
1,2,12,Natural Gas,12,01/02/2019 12:27:30,2870.5
1,2,12,Nuclear,12,01/02/2019 12:27:30,5429.08333333333
1,2,12,Other Fossil Fuels,12,01/02/2019 12:27:30,0
1,2,12,Other Renewables,12,01/02/2019 12:27:30,296.666666666667
1,2,12,Wind,12,01/02/2019 12:27:30,7.08333333333333
1,2,13,Dual Fuel,12,01/02/2019 13:27:30,2857.08333333333
1,2,13,Hydro,12,01/02/2019 13:27:30,4128.16666666667
1,2,13,Natural Gas,12,01/02/2019 13:27:30,3065.16666666667
1,2,13,Nuclear,12,01/02/2019 13:27:30,5430.66666666667
1,2,13,Other Fossil Fuels,12,01/02/2019 13:27:30,0
1,2,13,Other Renewables,12,01/02/2019 13:27:30,286.75
1,2,13,Wind,12,01/02/2019 13:27:30,7.33333333333333
1,2,14,Dual Fuel,12,01/02/2019 14:27:30,3143.5
1,2,14,Hydro,12,01/02/2019 14:27:30,4119.41666666667
1,2,14,Natural Gas,12,01/02/2019 14:27:30,3231.08333333333
1,2,14,Nuclear,12,01/02/2019 14:27:30,5427.66666666667
1,2,14,Other Fossil Fuels,12,01/02/2019 14:27:30,0
1,2,14,Other Renewables,12,01/02/2019 14:27:30,274.083333333333
1,2,14,Wind,12,01/02/2019 14:27:30,10.9166666666667
1,2,15,Dual Fuel,12,01/02/2019 15:27:30,3487.16666666667
1,2,15,Hydro,12,01/02/2019 15:27:30,4130
1,2,15,Natural Gas,12,01/02/2019 15:27:30,3240.33333333333
1,2,15,Nuclear,12,01/02/2019 15:27:30,5427.25
1,2,15,Other Fossil Fuels,12,01/02/2019 15:27:30,0
1,2,15,Other Renewables,12,01/02/2019 15:27:30,271.333333333333
1,2,15,Wind,12,01/02/2019 15:27:30,36.4166666666667
1,2,16,Dual Fuel,14,01/02/2019 16:31:17,4029.07142857143
1,2,16,Hydro,14,01/02/2019 16:31:17,4378.14285714286
1,2,16,Natural Gas,14,01/02/2019 16:31:17,3508.14285714286
1,2,16,Nuclear,14,01/02/2019 16:31:17,5427.21428571429
1,2,16,Other Fossil Fuels,14,01/02/2019 16:31:17,0
1,2,16,Other Renewables,14,01/02/2019 16:31:17,270.428571428571
1,2,16,Wind,14,01/02/2019 16:31:17,76.7142857142857
1,2,17,Dual Fuel,12,01/02/2019 17:27:30,4497
1,2,17,Hydro,12,01/02/2019 17:27:30,4491.66666666667
1,2,17,Natural Gas,12,01/02/2019 17:27:30,3646.41666666667
1,2,17,Nuclear,12,01/02/2019 17:27:30,5427.83333333333
1,2,17,Other Fossil Fuels,12,01/02/2019 17:27:30,0
1,2,17,Other Renewables,12,01/02/2019 17:27:30,270.5
1,2,17,Wind,12,01/02/2019 17:27:30,116
1,2,18,Dual Fuel,12,01/02/2019 18:27:30,3992.66666666667
1,2,18,Hydro,12,01/02/2019 18:27:30,4419.41666666667
1,2,18,Natural Gas,12,01/02/2019 18:27:30,3659.58333333333
1,2,18,Nuclear,12,01/02/2019 18:27:30,5427.58333333333
1,2,18,Other Fossil Fuels,12,01/02/2019 18:27:30,0
1,2,18,Other Renewables,12,01/02/2019 18:27:30,265.833333333333
1,2,18,Wind,12,01/02/2019 18:27:30,207
1,2,19,Dual Fuel,12,01/02/2019 19:27:30,3629.08333333333
1,2,19,Hydro,12,01/02/2019 19:27:30,4446.66666666667
1,2,19,Natural Gas,12,01/02/2019 19:27:30,3535.33333333333
1,2,19,Nuclear,12,01/02/2019 19:27:30,5425.75
1,2,19,Other Fossil Fuels,12,01/02/2019 19:27:30,0
1,2,19,Other Renewables,12,01/02/2019 19:27:30,267.75
1,2,19,Wind,12,01/02/2019 19:27:30,279.916666666667
1,2,20,Dual Fuel,12,01/02/2019 20:27:30,3370.08333333333
1,2,20,Hydro,12,01/02/2019 20:27:30,4239.5
1,2,20,Natural Gas,12,01/02/2019 20:27:30,3290.83333333333
1,2,20,Nuclear,12,01/02/2019 20:27:30,5425
1,2,20,Other Fossil Fuels,12,01/02/2019 20:27:30,0
1,2,20,Other Renewables,12,01/02/2019 20:27:30,269
1,2,20,Wind,12,01/02/2019 20:27:30,289.583333333333
1,2,21,Dual Fuel,14,01/02/2019 21:24:20,3072.85714285714
1,2,21,Hydro,14,01/02/2019 21:24:20,3930.28571428571
1,2,21,Natural Gas,14,01/02/2019 21:24:20,2930.57142857143
1,2,21,Nuclear,14,01/02/2019 21:24:20,5427.71428571429
1,2,21,Other Fossil Fuels,14,01/02/2019 21:24:20,0
1,2,21,Other Renewables,14,01/02/2019 21:24:20,266.071428571429
1,2,21,Wind,14,01/02/2019 21:24:20,325.857142857143
1,2,22,Dual Fuel,14,01/02/2019 22:24:30,2835.28571428571
1,2,22,Hydro,14,01/02/2019 22:24:30,3762.35714285714
1,2,22,Natural Gas,14,01/02/2019 22:24:30,2211.78571428571
1,2,22,Nuclear,14,01/02/2019 22:24:30,5429.07142857143
1,2,22,Other Fossil Fuels,14,01/02/2019 22:24:30,0
1,2,22,Other Renewables,14,01/02/2019 22:24:30,268.571428571429
1,2,22,Wind,14,01/02/2019 22:24:30,414
1,2,23,Dual Fuel,12,01/02/2019 23:27:30,2544.75
1,2,23,Hydro,12,01/02/2019 23:27:30,3413.66666666667
1,2,23,Natural Gas,12,01/02/2019 23:27:30,1647.66666666667
1,2,23,Nuclear,12,01/02/2019 23:27:30,5428.58333333333
1,2,23,Other Fossil Fuels,12,01/02/2019 23:27:30,0
1,2,23,Other Renewables,12,01/02/2019 23:27:30,267.583333333333
1,2,23,Wind,12,01/02/2019 23:27:30,497.333333333333
1,3,0,Dual Fuel,12,01/03/2019 00:27:30,2582.25
1,3,0,Hydro,12,01/03/2019 00:27:30,3382.16666666667
1,3,0,Natural Gas,12,01/03/2019 00:27:30,1303.16666666667
1,3,0,Nuclear,12,01/03/2019 00:27:30,5429.08333333333
1,3,0,Other Fossil Fuels,12,01/03/2019 00:27:30,0
1,3,0,Other Renewables,12,01/03/2019 00:27:30,261.833333333333
1,3,0,Wind,12,01/03/2019 00:27:30,533.75
1,3,1,Dual Fuel,12,01/03/2019 01:27:30,2497.25
1,3,1,Hydro,12,01/03/2019 01:27:30,3400.83333333333
1,3,1,Natural Gas,12,01/03/2019 01:27:30,1273.83333333333
1,3,1,Nuclear,12,01/03/2019 01:27:30,5429
1,3,1,Other Fossil Fuels,12,01/03/2019 01:27:30,0
1,3,1,Other Renewables,12,01/03/2019 01:27:30,266.666666666667
1,3,1,Wind,12,01/03/2019 01:27:30,577.833333333333
1,3,2,Dual Fuel,12,01/03/2019 02:27:30,2443.66666666667
1,3,2,Hydro,12,01/03/2019 02:27:30,3404.41666666667
1,3,2,Natural Gas,12,01/03/2019 02:27:30,1273.41666666667
1,3,2,Nuclear,12,01/03/2019 02:27:30,5428.25
1,3,2,Other Fossil Fuels,12,01/03/2019 02:27:30,0
1,3,2,Other Renewables,12,01/03/2019 02:27:30,264.25
1,3,2,Wind,12,01/03/2019 02:27:30,639.583333333333
1,3,3,Dual Fuel,12,01/03/2019 03:27:30,2299.25
1,3,3,Hydro,12,01/03/2019 03:27:30,3366.91666666667
1,3,3,Natural Gas,12,01/03/2019 03:27:30,1236
1,3,3,Nuclear,12,01/03/2019 03:27:30,5429.58333333333
1,3,3,Other Fossil Fuels,12,01/03/2019 03:27:30,0
1,3,3,Other Renewables,12,01/03/2019 03:27:30,263.333333333333
1,3,3,Wind,12,01/03/2019 03:27:30,666.333333333333
1,3,4,Dual Fuel,12,01/03/2019 04:27:30,2381.58333333333
1,3,4,Hydro,12,01/03/2019 04:27:30,3310.33333333333
1,3,4,Natural Gas,12,01/03/2019 04:27:30,1324.41666666667
1,3,4,Nuclear,12,01/03/2019 04:27:30,5428
1,3,4,Other Fossil Fuels,12,01/03/2019 04:27:30,0
1,3,4,Other Renewables,12,01/03/2019 04:27:30,265.5
1,3,4,Wind,12,01/03/2019 04:27:30,644.416666666667
1,3,5,Dual Fuel,12,01/03/2019 05:27:30,2537.58333333333
1,3,5,Hydro,12,01/03/2019 05:27:30,3267.66666666667
1,3,5,Natural Gas,12,01/03/2019 05:27:30,1720.66666666667
1,3,5,Nuclear,12,01/03/2019 05:27:30,5425
1,3,5,Other Fossil Fuels,12,01/03/2019 05:27:30,0
1,3,5,Other Renewables,12,01/03/2019 05:27:30,268.25
1,3,5,Wind,12,01/03/2019 05:27:30,703.666666666667
1,3,6,Dual Fuel,12,01/03/2019 06:27:30,3021.08333333333
